sku,price_inr,status,label,contribution_before_marketing_inr
session_250_500,29,proposed,"Session pass, ATP 250/500 (any start time; live + 48h replay)",20.4
session_masters,39,proposed,"Session pass, Masters 1000 / ATP Finals (any start time; live + 48h replay)",28.5
session_model,35,model mix,Blended session price in the cohort model (mix of ₹29 and ₹39),25.3
tournament_250_500,79,existing (case: ₹79-₹99),"Tournament pass, ATP 250/500",55.8
tournament_masters,89,existing (case: ₹79-₹99),"Tournament pass, Masters 1000",61.9
tournament_finals,99,existing (case: ₹79-₹99),"Tournament pass, Nitto ATP Finals",69.9
finish_season,199,"existing late-season price (S12), new treatment","Rest-of-season pass, 5 Oct-22 Nov 2026; the ₹199 late-season price already appears in FanCode promotion (S12): what is new is the credit from tournament passes and the loyalty renewal",136.7
season_2027,399,assumed = 2026 list (CF16); 2027 tariff unverified,ATP Season Pass 2027 (assumed list),262.2
season_2027_loyalty,349,proposed,ATP Season Pass 2027 loyalty price for 2026 rest-of-season/season holders buying by 15 Jan 2027,221.8
monthly_pass,179,"existing (S10); scope = 'all applicable' paywalled tours (S11), inclusions to be confirmed",FanCode Monthly Pass,124.5
f1_weekend,99,"existing (S14, secondary)",F1 race-weekend pass,71.9
