outreach_rank,priority,total_score,company_name,company_domain,company_website,company_linkedin_url,founder_name,founder_first_name,founder_last_name,founder_current_title,founder_linkedin_url,founder_location,company_hq,us_based_status,employee_count,employee_range,estimated_revenue,total_funding,company_status,business_model,b2b_saas_evidence,affordability_evidence,founder_market_authority,founder_content_activity,content_gap,status_quo_need,buying_trigger,personalized_outreach_angle,qualification_reason,disqualification_risks,verification_status,last_verified_date,primary_evidence_url,additional_evidence_urls,research_notes
1,A,91,HelloTeam,helloteam.com,https://helloteam.com,https://www.linkedin.com/company/helloteaminc,Tanya Bakalov,Tanya,Bakalov,Founder & CEO,unverified,"Boston, MA","Boston, MA, United States",US-based (High confidence),37,11-50,1M-5M (vendor estimate),$13.5M+ ($3.5M seed led by Underscore VC plus a $10M round led by Grand Oaks Capital),active,Confirmed B2B SaaS,"High confidence: Confirmed B2B SaaS. All-in-one employee engagement and performance platform: reviews, goals and OKRs, recognition and rewards, surveys, learning, dynamic org chart and people analytics.",Confirmed: $13.5M+ raised including a $10M round from the Paychex founder's firm; 37 employees on an established HR platform,"Employee engagement and retention, HR technology, scaling a company to a $1B valuation and 500+ employees, female founder leadership",Unknown - LinkedIn not inspectable; clearly press-active,"Likely ideal - substantial press coverage exists but it is journalists writing about her, not her own sustained voice","Very few HR-tech founders have personally scaled a company to a $1B valuation with 500+ employees, which means she has lived the retention problem at exactly the scale her buyers fear. Pair that with Inc Female Founders 500 recognition and a Paychex-founder-backed round and there are three distinct, high-demand threads - retention at scale, second-time founding, and female founder leadership - none of which she is publishing herself.",Inc 2025 Female Founders 500 listing and the $10M Grand Oaks round,"Tanya already scaled a company to a $1B valuation and 500+ employees before founding HelloTeam - so she has lived the retention problem at the scale her buyers are frightened of. Forbes and Inc write about her; she does not write for herself. That is the gap, and the credential behind it is one almost nobody in HR tech can match.","TAM: Confirmed; HR technology (engagement, performance and retention) sold to HR and people teams at mid-market employers. Size: 11-50 (confidence High). HQ: Boston, MA, United States (High). Ability to pay: Confirmed. Buyer: Founder & CEO, Founder-CEO, operational.","founder LinkedIn URL not captured; LinkedIn posting activity could not be inspected from the research environment, so content-gap fields are inference not observation",research confidence High; LinkedIn activity unverified; founder profile URL unverified,2026-09-14,https://www.forbes.com/sites/gigizamora/2023/04/21/payroll-billionaire-tom-golisano-bets-on-employee-retention-startup-helloteam/,https://www.builtinboston.com/articles/helloteam-raises-3m-hiring | https://www.crunchbase.com/organization/betterskills-inc | https://yespress.io/helloteam,"The strongest profile found so far. Tanya Bakalov founded HelloTeam in 2016 (originally BetterSkills) after growing a previous company to a $1B valuation with more than 500 employees across multiple offices, and was named to Inc's 2025 Female Founders 500. 37 employees, Boston, $13.5M+ raised including a $10M round led by the Paychex founder's investment firm, with Forbes covering it. Everything the scoring model rewards lines up: exact-band size, confirmed ability to pay, a decision-making founder-CEO with an exceptional prior track record, and a recent, newsworthy trigger."
2,A,89,KORIO,korioclinical.com,https://korioclinical.com,https://www.linkedin.com/company/korio-inc,Ryan Keane,Ryan,Keane,Founder & Chief Executive Officer,unverified,"Doylestown, PA","Doylestown, PA, United States",US-based (High confidence),36 (Jun 2026),11-50,5M-10M (vendor estimate),$12.3M across 2 rounds,active,Confirmed B2B SaaS,"High confidence: Confirmed B2B SaaS. Compliance-centric Randomization and Trial Supply Management (RTSM/IRT) platform for every phase of clinical trials, built platform-first to fix the quality and scalability problems of legacy IRT.","Confirmed: $12.3M raised across seed and Series A; pharma and CRO sponsors on per-trial RTSM contracts, which carry high six-figure values","Clinical trial randomisation and supply management, biostatistics (MS), life-science commercial leadership; ten years at Endpoint Clinical rising to Chief Commercial Officer",Unknown - LinkedIn not inspectable,"Unknown - requires LinkedIn verification, but the company already publishes trade commentary under its own name rather than his","He ran commercial for the incumbent RTSM vendor for a decade and then left to build the alternative. 'Here is what the category I helped sell actually gets wrong' is the single most credible post available in clinical trial technology, and the audience - pharma sponsors and CRO operations leaders - is small, senior and reachable. The company already argues a platform-first thesis in trade press; it is company-voiced, not founder-voiced.",Series A funding round,"Ryan spent a decade at Endpoint Clinical, ending as Chief Commercial Officer, then left to build the RTSM platform he thought the category needed. 'What the category I helped sell gets wrong' is the most credible post anyone in clinical trial tech could write - and right now that argument only appears as a company byline in Clinical Leader.","TAM: Confirmed; Healthcare software / compliance technology (clinical trial RTSM) sold to Pharmaceutical sponsors and CROs running clinical trials. Size: 11-50 (confidence High). HQ: Doylestown, PA, United States (High). Ability to pay: Confirmed. Buyer: Founder & Chief Executive Officer, Founder-CEO, operational.","founder LinkedIn URL not captured; LinkedIn posting activity could not be inspected from the research environment, so content-gap fields are inference not observation",research confidence High; LinkedIn activity unverified; founder profile URL unverified,2026-09-14,https://www.korioclinical.com/korio-secures-series-a-funding-to-accelerate-growth-of-innovative-randomization-trial-supply-management-rtsm-platform/,https://www.finsmes.com/2023/10/korio-secures-6-8m-in-funding.html | https://tracxn.com/d/companies/korio/__S1doKRs_hb_suMwPmWYrWuYgAF2B0cb-RwYp5fGVUC0 | https://www.clinicalleader.com/doc/why-korio-took-a-platform-first-approach-to-clinical-trial-rtsm-0001 | https://www.prnewswire.com/news-releases/korio-to-launch-irt-industrys-first-compliance-centric-platform-301627503.html,"First company out of the strict queue and it validates the filter. 36 employees, founder-CEO in post, $12.3M raised including a recent Series A, Doylestown PA. The founder profile is unusually strong for this service: Ryan Keane spent ten years at Endpoint Clinical - the incumbent RTSM vendor - rising to Chief Commercial Officer, then left to build the challenger. A founder who ran the incumbent's commercial organisation and then argues publicly about what that category got wrong has standing no competitor can buy."
3,A,88,Dropstat,dropstat.com,https://dropstat.com,https://www.linkedin.com/company/dropstat,Sara Well,Sara,Well,Founder & CEO,unverified,"Beverly Hills, CA","Beverly Hills, CA, United States",US-based (High confidence),38 (up 6% year on year),11-50,1M-5M (vendor estimate); described as a multi-million dollar health-tech company,$6.84M across 4 rounds,active,Confirmed B2B SaaS,"High confidence: Confirmed B2B SaaS. Staffing supply chain management platform that works alongside scheduling and payroll systems, using algorithms to fill chronic and urgent shift gaps with the safest, most cost-efficient staff available.","Confirmed: $6.84M raised, 38 employees growing, healthcare facility customers on recurring staffing-platform contracts","Clinical healthcare (12 years, former critical care nurse), nurse staffing operations, healthcare compliance, health-tech product",Moderate content gap - gives interviews and podcast appearances; LinkedIn cadence not inspectable,Ideal - a genuinely rare operator-to-founder story that currently appears only as guest interviews on other people's channels,"A critical care nurse who built the staffing software hospitals buy is an unusually credible voice in a sector where most founders have never worked a shift. The nurse-shortage and burnout debate is permanently live, and she can speak to it from both the ward and the P&L - a combination almost nobody in health-tech has.",Podcast appearance - 'Nurse Builds Healthcare SaaS and Saves More Lives',"Sara worked 12 years as a critical care nurse before building the software hospitals now buy to fill shifts. In a sector full of founders who have never worked a ward, that is the most credible voice in the room on staffing and burnout - and right now it only surfaces when someone else invites her onto their podcast.","TAM: Confirmed; Healthcare software / HR technology (staffing supply chain) sold to Hospitals, nursing homes and healthcare facilities managing nurse staffing. Size: 11-50 (confidence High). HQ: Beverly Hills, CA, United States (High). Ability to pay: Confirmed. Buyer: Founder & CEO, Founder-CEO, operational.","founder LinkedIn URL not captured; LinkedIn posting activity could not be inspected from the research environment, so content-gap fields are inference not observation",research confidence Medium; LinkedIn activity unverified; founder profile URL unverified,2026-09-14,https://dropstat.com/blog/company-news/nurse-staffing-interview/,https://www.cacheflowpodcast.com/episodes/nurse-builds-healthcare-saas-and-saves-more-lives/ | https://labusinessjournal.com/economy/jobs/dropstat-closes-seed-round/ | https://profiles.crustdata.com/company/dropstat | https://tracxn.com/d/companies/dropstat/__XbbWIjQD-Sa507hLwIC--Fkm56IOqi1GyONpTmsgHLk,"One of the strongest founder-brand profiles found so far. Sara Well is a former critical care nurse with 12 years of clinical experience who founded the company to fix the staffing problem she lived, and she is already doing podcast and interview appearances. 38 employees, squarely in band, Beverly Hills HQ, institutional backing."
4,A,88,Treasury4,treasury4.com,https://treasury4.com,https://www.linkedin.com/company/treasury4,Steve Helmbrecht,Steve,Helmbrecht,"Co-Founder, President & CEO",unverified,"Spokane, WA","Spokane, WA, United States",US-based (High confidence),41 (Jun 2026),11-50,1M-5M (vendor estimate),$25.98M,active,Confirmed B2B SaaS,"High confidence: Confirmed B2B SaaS. Cloud treasury data and analytics platform for corporate treasury operations - entity, cash, debt and investment data management.",Confirmed: $25.98M raised including a $20M Series A led by WestCap; corporate treasury departments on enterprise contracts,"Corporate treasury, CFO-level finance operations, treasury technology",Moderate - the company publishes a multi-part founding story including on LinkedIn; personal cadence not inspectable,Moderate - narrative content already exists but under the company's name rather than the founders',"Treasury is the last major finance function still run on spreadsheets, and rate volatility has made cash visibility a board-level question. A founder-CEO selling into treasurers can make that argument with authority - and the company has already proven it can tell a story well with 'The Treasury4 Story' series, which is sitting under the company byline instead of his.",$20M Series A,"Treasury4 already publishes 'The Treasury4 Story' as a series - the narrative instinct is there, it is just company-voiced. Treasury is the last finance function still on spreadsheets and rate volatility made cash visibility a board question; that argument belongs under Steve's name, not the company's.","TAM: Confirmed; Financial operations (corporate treasury management) sold to Corporate treasury and finance teams. Size: 11-50 (confidence High). HQ: Spokane, WA, United States (High). Ability to pay: Confirmed. Buyer: Co-Founder, President & CEO, Founder-CEO, operational.","founder LinkedIn URL not captured; LinkedIn posting activity could not be inspected from the research environment, so content-gap fields are inference not observation",research confidence High; LinkedIn activity unverified; founder profile URL unverified,2026-09-14,https://www.businesswire.com/news/home/20230912157405/en/Treasury4-Raises-%2420-Million-in-Series-A-Funding-Led-by-WestCap,https://www.treasury4.com/company/about-treasury4/ | https://tracxn.com/d/companies/treasury4/__UBpH12QCrui4E5W9lsUq4o0zwlPW2ywtr3nPAk3XNMM | https://www.linkedin.com/pulse/treasury4-story-treasury4,"41 employees, three founders all in operating roles, $20M Series A from WestCap, and a Spokane rather than coastal base. Notably the company already publishes 'The Treasury4 Story' as a multi-part series including on LinkedIn, so appetite for narrative content is proven - it is just company-voiced rather than founder-voiced."
5,A,88,VERITUITY,verituity.com,https://verituity.com,https://www.linkedin.com/company/verituity,Ben Turner,Ben,Turner,Founder & CEO,unverified,"McLean, VA","McLean, VA, United States",US-based (High confidence),27 (May 2026),11-50,5M-10M (vendor estimate),$30.0M across 2 rounds,active,Confirmed B2B SaaS,"High confidence: Confirmed B2B SaaS. Payout platform delivering verified B2B and B2C payments for banks and enterprises, with confidence-based verification at the point of payout to cut fraud risk and optimise payout economics.",Confirmed: $30M raised from institutional fintech and security investors; banks and enterprises on payout-platform contracts with per-transaction economics,"Payment verification and fraud prevention, data and security product commercialisation; previously built and commercialised products for Fortune 500 customers at Verisign, Interos and Iron Mountain",Moderate - has given a long-form podcast interview; LinkedIn cadence not inspectable,"Moderate - one long-form interview exists, hosted elsewhere, with no sustained personal position","Payment fraud is permanently in the news and almost all commentary is vendor fear-selling. A founder arguing that the answer is verification at the point of payout rather than downstream detection has a specific, contrarian and defensible thesis, backed by a Verisign-and-Iron-Mountain security career. His buyers are bank executives, who are exactly the audience that reads considered LinkedIn argument rather than marketing.","Confidence-based verification product launch, March 2026","Payment fraud commentary is almost entirely vendor fear-selling. Ben's argument - that payout fraud is a verification problem at the point of payment, not a detection problem downstream - is specific, contrarian and backed by a Verisign and Iron Mountain security career. It exists in one podcast interview and nowhere else.","TAM: Confirmed; Fintech software (verified payouts) sold to Banks and enterprises issuing B2B and B2C payouts. Size: 11-50 (confidence High). HQ: McLean, VA, United States (High). Ability to pay: Confirmed. Buyer: Founder & CEO, Founder-CEO, operational.","founder LinkedIn URL not captured; LinkedIn posting activity could not be inspected from the research environment, so content-gap fields are inference not observation",research confidence High; LinkedIn activity unverified; founder profile URL unverified,2026-09-14,https://www.businesswire.com/news/home/20260311039649/en/Verituity-Advances-Confidence-Based-Verification-at-the-Point-of-Payout,https://forgepointcap.com/perspectives/verituity-transforming-protecting-and-accelerating-digital-payouts/ | https://tracxn.com/d/companies/verituity/__VPaFydAukmZ26RN5fSxRkhakZFKUpfikFREECtWQdHg | https://verituity.com/verituitys-founder-and-ceo-ben-turner-on-building-an-intelligent-payouts-solution-with-code-story/,"27 employees, both co-founders operational, $30M raised, McLean VA. Founders are security and data veterans from Verisign, Interos and Iron Mountain who commercialised products for Fortune 500 customers - credible authority in a category (payment fraud) where the subject matter is permanently newsworthy. Ben Turner has already done a Code Story long-form interview, so the raw material exists."
6,A,87,Prodly,prodly.co,https://prodly.co,https://www.linkedin.com/company/prodly,Max Rudman,Max,Rudman,"Chairman & CEO, Co-Founder",unverified,"Palo Alto, CA","Palo Alto, CA, United States",US-based (High confidence),dataset 11-50; not contradicted,11-50,1M-5M (vendor estimate),$13.5M,active,Confirmed B2B SaaS,"High confidence: Confirmed B2B SaaS. End-to-end Salesforce DevOps platform for change management, automated deployment, data migration, sandbox seeding and SOX compliance.","Confirmed: $13.5M raised; Fortune 100 customer base including American Express, Johnson & Johnson, Verizon and Snowflake on enterprise DevOps contracts","Quote-to-cash, Salesforce ecosystem, CPQ - founded SteelBrick which Salesforce acquired in 2015 and rebranded as Salesforce CPQ; later VP of Salesforce CPQ",Unknown - LinkedIn not inspectable,Unknown - requires LinkedIn verification,"Building a company on Salesforce, selling it to Salesforce, running the product inside Salesforce, then building on the platform again is an arc almost nobody in the ecosystem can match. Every Salesforce ISV founder wants exactly that playbook - what Salesforce actually rewards, how acquisition really works, where platform risk bites - and it is entirely unpublished.",Appointment as Chairman and CEO of Prodly,"Max built SteelBrick, sold it to Salesforce where it became Salesforce CPQ, ran that product from the inside, and is now building on the platform again. Every Salesforce ISV founder would read that playbook - what the platform rewards, how the acquisition actually went - and none of it exists publicly.","TAM: Confirmed; Developer tools / revenue operations (Salesforce DevOps) sold to Salesforce admins, citizen developers and enterprise RevOps teams. Size: 11-50 (confidence Low). HQ: Palo Alto, CA, United States (High). Ability to pay: Confirmed. Buyer: Chairman & CEO, Co-Founder, Founder-CEO, operational; also founder of SteelBrick.","penalties applied: employee count unverified (-10); employee count not independently verified; founder LinkedIn URL not captured; LinkedIn posting activity could not be inspected from the research environment, so content-gap fields are inference not observation",research confidence Medium; LinkedIn activity unverified; founder profile URL unverified,2026-09-14,https://www.prodly.co/blog/steelbrick-founder-joins-as-ceo/,https://www.prodly.co/ | https://www.cbinsights.com/company/prodly,"One of the strongest founder profiles in the list. Max Rudman founded SteelBrick, which Salesforce acquired in 2015 and turned into Salesforce CPQ, and he then became VP of Salesforce CPQ before taking over Prodly as Chairman and CEO alongside co-founder and CTO Daniel Rudman. The customer list - American Express, J&J, Verizon, Snowflake, DoorDash - is exceptional for a company this size. Only headcount is unverified."
7,A,86,Revela,revela.co,https://revela.co,https://www.linkedin.com/company/revela-inc.,Grant Drzyzga,Grant,Drzyzga,Founder & CEO,https://www.linkedin.com/in/grant-drzyzga-5a017047/,"Detroit, MI","Detroit, MI, United States",US-based (High confidence),29 (Jul 2026),11-50,1M-5M (vendor estimate),$9M+,active,Confirmed B2B SaaS,"High confidence: Confirmed B2B SaaS. Property management platform automating operations, accounting, payment processing, maintenance tracking and customer relations for real estate managers.",Confirmed: $9M Series A led by FirstMark Capital; property management companies on recurring platform contracts with payment processing attached,"Property management operations, real estate accounting, payment processing, vertical SaaS",Unknown - profile URL confirmed but activity not inspectable from this environment,"Unknown - profile confirmed, cadence requires verification","A decade building a vertical SaaS company in Detroit before a FirstMark Series A is a genuinely unusual arc - most PropTech narratives are coastal and fast. Combined with operational data across single family, multifamily, affordable and commercial portfolios, there are two strong positions: the long-haul vertical SaaS story, and what actually breaks in property management operations at scale.",Series A round,"Grant spent nearly a decade building Revela in Detroit before FirstMark led a $9M Series A - the opposite of the PropTech story everyone tells. That long-haul arc, plus what he sees break across affordable-housing and multifamily portfolios, is founder material the company blog never touches.","TAM: Confirmed; Vertical SaaS / PropTech (property management) sold to Real estate management companies across single family, multifamily, affordable housing, commercial, retail and industrial; also academic institutions. Size: 11-50 (confidence High). HQ: Detroit, MI, United States (High). Ability to pay: Confirmed. Buyer: Founder & CEO, Founder-CEO, operational.","LinkedIn posting activity could not be inspected from the research environment, so content-gap fields are inference not observation",research confidence High; LinkedIn activity unverified; founder profile URL captured,2026-09-14,https://www.linkedin.com/in/grant-drzyzga-5a017047/,https://www.dbusiness.com/hustle-muscle/revela-inc/ | https://www.remtimes.com/blogs/news/detroit-company-revela-raises-9-million.php | https://tracxn.com/d/companies/revela/__bxMpmX7ZbjiYCiSGcJ0jvmY9DR5ZsxO5KUgbGNXjrgg#founders-and-board-of-directors,"Clean qualification: 29 employees confirmed, founder-CEO Grant Drzyzga still leading since founding in 2014, tier-one Series A, and a verified founder LinkedIn URL - one of the few leads so far where the founder profile URL is directly evidenced rather than unverified."
8,A,86,SafeGuard Privacy,safeguardprivacy.com,https://safeguardprivacy.com,https://www.linkedin.com/company/safeguardprivacy,Richy Glassberg,Richy,Glassberg,Founder & CEO,https://www.linkedin.com/in/richy-glassberg-49a915/,"New York, NY","New York, NY, United States",US-based (High confidence),~24 (Jun 2026),11-50,1M-5M (vendor estimate),$11.4M over 3 rounds,active,Confirmed B2B SaaS,High confidence: Confirmed B2B SaaS. Privacy compliance management and collaboration platform automating assessment of a company's and its vendors' adherence to privacy laws.,Confirmed: $11.4M raised including a 2024 round; adtech and enterprise buyers on recurring compliance-platform contracts,"Data privacy law compliance, adtech and media ecosystem, vendor risk assessment",Unknown - profile URL evidenced but activity not inspectable,"Unknown - profile confirmed, cadence requires verification","Every new US state privacy law sets off a compliance scramble, which gives a founder in this category a permanent supply of genuinely useful, time-sensitive subject matter. The company already argues that privacy complexity can be a competitive advantage rather than a cost - a contrarian framing that belongs in a founder's voice, aimed at the adtech and media buyers who feel the pain first.",$3.6M round and Adweek coverage,"Every new state privacy law starts a scramble, and Richy's company already argues that complexity is an advantage rather than a cost. That contrarian framing, aimed at adtech buyers who feel each law first, is a founder position with a permanent news hook - and it currently lives on the company blog.","TAM: Confirmed; Compliance technology (privacy compliance) sold to Companies and their vendor networks managing privacy-law compliance, with strong adtech and media adoption. Size: 11-50 (confidence High). HQ: New York, NY, United States (High). Ability to pay: Confirmed. Buyer: Founder & CEO, Founder-CEO, operational.","LinkedIn posting activity could not be inspected from the research environment, so content-gap fields are inference not observation",research confidence High; LinkedIn activity unverified; founder profile URL captured,2026-09-14,https://www.linkedin.com/in/richy-glassberg-49a915/,https://safeguardprivacy.com/safeguard-privacy-closes-a-new-3-6-million-funding-round/ | https://tracxn.com/d/companies/safeguardprivacy/__N2n5kxMY0cXPWbztby2cw0-E6AURQXBFZma1gil9Em0 | https://www.adweek.com/programmatic/check-out-the-pitch-deck-firm-safeguard-privacy-used-to-raise-36-million/,"24 employees, founder-CEO in post, $11.4M raised with a 2024 round, and a partial LinkedIn handle evidenced for the founder. Timing is excellent: US state privacy laws keep multiplying and every new one creates a compliance scramble, so the founder's subject is permanently newsworthy without needing manufactured hooks."
9,A,86,Xevant,xevant.com,https://xevant.com,https://www.linkedin.com/company/xevant,Brandon Newman,Brandon,Newman,Co-Founder & CEO,unverified,"Lehi, UT","Lehi, UT, United States",US-based (High confidence),34 (Jun 2026),11-50,1M-5M (vendor estimate),$17.2M across 3 rounds from 5 investors,active,Confirmed B2B SaaS,"High confidence: Confirmed B2B SaaS. Real-time PBM data analytics platform - ScripLogic, ClinicalLogic, BidLogic and FinanceLogic - covering contract variance, plan review and trend management.",Confirmed: $17.2M raised with a Series A in Feb 2024; enterprise PBM and health-plan buyers on high-value analytics contracts,"Pharmacy benefit management, drug pricing analytics, healthcare cost containment",Unknown - LinkedIn not inspectable,Unknown - requires LinkedIn verification,"PBM transparency is one of the most politically contested subjects in US healthcare, and almost nobody arguing about it has live claims data. A founder-CEO whose platform runs contract variance and trend analysis across benefit plans can make specific, evidenced arguments where the public debate runs on anecdote and lobbying talking points.",Series A funding round and a major platform enhancement launch (2024-02-08),PBM transparency is being legislated by people without claims data. Brandon has it. A founder-led point of view on what contract variance actually shows would land in a debate currently starved of evidence - and Xevant's own channels only talk product features.,"TAM: Confirmed; Healthcare software / analytics (PBM data analytics) sold to Pharmacy benefit managers, health plans, employers and pharmacy benefit organisations. Size: 11-50 (confidence High). HQ: Lehi, UT, United States (High). Ability to pay: Confirmed. Buyer: Co-Founder & CEO, Founder-CEO, operational.","founder LinkedIn URL not captured; LinkedIn posting activity could not be inspected from the research environment, so content-gap fields are inference not observation",research confidence Medium; LinkedIn activity unverified; founder profile URL unverified,2026-09-14,https://www.xevant.com/leadership/,https://tracxn.com/d/companies/xevant/__UvEjJn6EgmdQgQ6U2R6rz0gds-lfOQv7-8WbVHJw5tA | https://www.xevant.com/news/xevant-unveils-newly-enhanced-platform-with-dynamic-solutions-for-the-healthcare-market/,"34 employees squarely in band, founder-CEO operational, recent institutional funding. Pharmacy benefit cost and PBM transparency are live regulatory and political topics, which makes the founder-brand timing unusually good."
10,A,85,Eraser,eraser.io,https://eraser.io,https://www.linkedin.com/company/eraser,Shin Kim,Shin,Kim,Founder,unverified,"San Francisco, CA","San Francisco, CA, United States",US-based (High confidence),29 (Apr 2026),11-50,$2.8M ARR (GetLatka 2025),$4M seed,active,Confirmed B2B SaaS,"High confidence: Confirmed B2B SaaS. Collaborative whiteboard and diagram-as-code tool for engineers, with AI diagram generation (DiagramGPT) for technical documentation.","Confirmed: $2.8M ARR clears the $1M threshold, $4M seed raised, 29 employees and over 1 million users from five-person startups to the largest global tech companies","Developer tooling, technical documentation, diagram-as-code, product-led growth; previously Chief of Staff to investor Elad Gil",Unknown - LinkedIn not inspectable,Unknown - requires LinkedIn verification,"Two exceptional and independent threads. Working as Chief of Staff to Elad Gil gives an inside view of how one of tech's most prolific investors evaluates companies - a subject founders read compulsively and almost nobody can write first-hand. Separately, reaching a million users on a $4M seed is a PLG case study with real numbers behind it. Neither is published.",AI diagramming adoption,"Shin was Chief of Staff to Elad Gil before building Eraser to a million users on a $4M seed. Either half is content founders would follow - how one of tech's most prolific investors actually evaluates companies, and PLG that genuinely worked. Neither has been written.","TAM: Confirmed; Developer tools (technical diagramming and documentation) sold to Engineering and technical teams producing architecture diagrams and technical documentation. Size: 11-50 (confidence High). HQ: San Francisco, CA, United States (High). Ability to pay: Confirmed. Buyer: Founder, Founder, operational.","founder LinkedIn URL not captured; LinkedIn posting activity could not be inspected from the research environment, so content-gap fields are inference not observation",research confidence High; LinkedIn activity unverified; founder profile URL unverified,2026-09-14,https://techcrunch.com/2021/11/09/eraser-a-new-collaboration-startup-for-technical-teams-has-4-million-in-seed-funding-and-some-traction/,https://getlatka.com/companies/eraser.io | https://tracxn.com/d/companies/eraser/__nzfpUQZquBXsth1MXznpZG7u_G-7L-B05Tf4fsoUjls,"29 employees, founder still leading, $2.8M ARR on only $4M raised, over a million users. The founder background is unusually strong for content: Shin Kim was Chief of Staff to investor Elad Gil before founding Eraser, which means a rare inside view of how a prolific investor evaluates companies - a subject founders read compulsively."
