id,organisation,title,url,published_or_updated,accessed,claim_supported,geography,evidence_type,used_on
S1,ATP Media,FanCode signs exclusive ATP Tour multi-year broadcast deal,https://www.atpmedia.tv/article/fancode-signs-exclusive-atp-tour-multi-year-broadcast-deal/,January 2026,2026-09-21 (search-index copy; direct fetch blocked in build environment),Exclusive broadcast and streaming rights in the Indian Subcontinent (India Bangladesh Sri Lanka Maldives Nepal) until 2028; live plus non-live content highlights features and a weekly tennis programme,Indian Subcontinent,external fact,"Cover, S1, S3, S5, References"
S2,Moneycontrol,FanCode strikes exclusive multi-year deal to broadcast ATP Tour events in Indian subcontinent,https://www.moneycontrol.com/news/business/startup/fancode-strikes-exclusive-multi-year-deal-to-broadcast-atp-tour-events-in-indian-subcontinent-13757010.html,January 2026,2026-09-21 (search-index copy),56 ATP Tour events per year covered by the FanCode deal until 2028,India,external fact (industry press),"S1, References"
S3,ATP Tour,What is the 2026 ATP Tour calendar?,https://www.atptour.com/en/news/what-is-the-2026-atp-tour-calendar,2025-11-27,2026-09-21 (search-index copy),2026 calendar: Chengdu/Hangzhou ATP 250 23-29 Sep; Tokyo/Beijing ATP 500 30 Sep-6 Oct; Rolex Shanghai Masters 7-18 Oct; Almaty/Brussels/Lyon ATP 250 19-25 Oct; Basel/Vienna ATP 500 26 Oct-1 Nov; Rolex Paris Masters 2-8 Nov; Stockholm ATP 250 8-14 Nov; Nitto ATP Finals 15-22 Nov; Next Gen ATP Finals Dec TBD; 9 Masters 1000 16 ATP 500 29 ATP 250,Global,external fact,"S2, S5, S8, References"
S4,ATP Tour,TV Schedule (broadcaster list),https://www.atptour.com/en/tournaments/tv-schedule,2026 (page),2026-09-21 (search-index copy),India broadcaster for ATP Tour listed as FanCode,India,external fact,"S3, References"
S5,JioStar (press release),JioHotstar introduces monthly plans across tiers,https://www.jiostar.com/news/jiohotstar-introduces-monthly-plans-across-tiers-giving-viewers-more-choice-in-how-they-watch-their-favourite-entertainment/,2026-01-21 (effective 2026-01-28 for new subscribers),2026-09-21 (search-index copy),New-subscriber prices in INR: Mobile 79/month 149/quarter 499/year (1 mobile device ad-supported all content except Hollywood); Super 149/349/1099 (2 devices ad-supported); Premium 299/699/2199 (4 devices ad-free except live sports),India,external fact,"S3, References"
S6,Sony LIV Help Centre,What are the types of subscription available? / How much does Sony LIV cost?,https://help.sonyliv.com/top-articles/what-are-the-types-of-subscription-available-on-liv-how-much-does-sony-liv-cost-1,undated help article (current at access),2026-09-21 (search-index copy),India prices: Mobile Only (Yearly) INR 699 (720p 1 device); LIV Premium Monthly INR 399; LIV Premium Yearly INR 1499 (up to 4K; 2 concurrent devices); live sports and tournaments included in all; ads remain on sports,India,external fact,"S3, References"
S7,Tennis TV Help Centre,How much does Tennis TV cost?,https://support.tennistv.com/hc/en-us/articles/21872957780636-How-much-does-Tennis-TV-cost,undated help article,2026-09-21 (search-index copy),Price depends on country; monthly six-month and annual subscriptions exist,Global,external fact,"S3, References"
S8,Apple App Store (India storefront),Tennis TV - Live Streaming (app listing with in-app purchases),https://apps.apple.com/in/app/tennis-tv-live-streaming/id1114471030,current listing at access,2026-09-21 (search-index copy),In-app purchase list shows Monthly ₹449 and Annual ₹4499; ATP-only service (no Grand Slams); live availability of ATP matches in India under FanCode exclusivity not verified,India (App Store),external fact (storefront listing) with caveat,"S3, References"
S9,Tennis TV Help Centre,What is Spoiler Mode on Tennis TV?,https://support.tennistv.com/hc/en-us/articles/21873584842652-What-is-Spoiler-Mode-on-Tennis-TV,undated help article,2026-09-21 (existence verified via search index; full text not fetched),Spoiler control for replays is an existing product pattern in the ATP's own streaming service; not a novel invention,Global,external fact (existence),"S5, References"
S10,FanCode,FanCode subscription page,https://www.fancode.com/content/subscribe,current at access,2026-09-21 (search-index copy),Monthly Pass offered at ₹179 (₹199 struck through); Unlimited Yearly Pass advertised as covering 120+ tours,India,external fact,"S3, S5, References"
