canonical_company_id,old_queue_rank,preliminary_score,company_name,domain,website_url,linkedin_company_url,linkedin_slug,country,locality,employee_headcount_numeric,employee_range,company_type,business_type,revenue_band,funding_band,industry,subindustry,pattern_tags,founded_year,follower_count,b2b_signals,saas_signals,bucket,bucket_reason,description,derived_description,filter_date
SQ161045,2709,73,Intellectible,intellectible.com,https://intellectible.com,https://www.linkedin.com/company/intellectible,intellectible,United States,"Austin, Texas",21.0,11-50 employees,Privately Held,B2B,0-500K,$1M - $5M,"Technology, Information and Internet","Enterprise Software Solutions,AI and ML Platforms","B2B, SaaS, AI Automation",2023.0,353.0,Business Type contains B2B; Pattern Tags contain B2B,"Pattern Tags contain SaaS; explicit SaaS / cloud / enterprise-software / platform language; SubIndustry is software/platform (Enterprise Software Solutions,AI and ML Platforms)",affordability_exception,revenue 0-500K contradicted by funding $1M - $5M,"Intellectible is the AI platform for complex services at enterprise scale. We empower teams to unify data, map their Standard Operating Procedures (SOPs), and launch production agents that qualify, price, and move work—end-to-end, on one secure platform.

Intellectible is trusted by Federal & state suppliers, facilities ops, and infrastructure build teams to codify and scale their most complex processes.

The underlying platform is a Visual Language for AI. Unlike rigid SaaS tools, Intellectible powers bespoke applications that encode your exact playbooks and IP into production-ready AI.

Read","Intellectible is a B2B SaaS platform that leverages AI to automate and enhance the grant and proposal writing process. It provides a suite of tools for research, AI-assisted writing, collaboration, and knowledge management. Intellectible helps businesses of all sizes scale their proposal writing efforts by automating tasks, improving efficiency, and ensuring compliance. The platform offers enterprise-grade security, seamless team onboarding, and customizable AI agent workflows to streamline complex document processes. Intellectible differentiates itself by offering a fully integrated, no-code ",2026-09-14
SQ100430,2869,71,Skyllful,skyllful.com,https://skyllful.com,https://www.linkedin.com/company/skyllful,skyllful,United States,"McKinney, Texas",21.0,11-50 employees,Privately Held,B2B,500K-1M,$1M - $5M,IT System Training and Support,"E-Learning Platforms and EdTech,Enterprise Software Solutions","B2B, SaaS, Mobile-First",2019.0,2841.0,Business Type contains B2B; Pattern Tags contain B2B,"Pattern Tags contain SaaS; explicit SaaS / cloud / enterprise-software / platform language; SubIndustry is software/platform (E-Learning Platforms and EdTech,Enterprise Softwar)",affordability_exception,revenue 500K-1M retained on funding $1M - $5M,"Skyllful helps business leaders and their most critical frontline workers use technology to make their work easier, better and safer. The Skyllful platform provides on-device, on-demand training that helps workers better engage with their enterprise applications.","Skyllful is a digital adoption platform (DAP) designed to improve the way frontline workers learn and use technology. The platform provides on-demand, on-device training simulations that help employees master enterprise applications, resulting in faster technology adoption, improved performance, and reduced training costs. Skyllful differentiates itself from traditional DAPs by focusing on mobile-first training solutions designed for deskless workers, offering simulation-based, proactive learning, and a hands-on approach. Skyllful primarily serves businesses in industries with large frontline ",2026-09-14
SQ120450,2874,71,ThingLink,thinglink.com,https://thinglink.com,https://www.linkedin.com/company/thinglink,thinglink,United States,"Palo Alto, California",35.0,11-50 employees,Privately Held,"B2B,B2C",500K-1M,$1M - $5M,E-Learning Providers,"E-Learning Platforms and EdTech,Consumer Software","EdTech, B2B, SaaS Platform",2010.0,3552.0,Business Type contains B2B; Pattern Tags contain B2B,"explicit SaaS / cloud / enterprise-software / platform language; SubIndustry is software/platform (E-Learning Platforms and EdTech,Consumer Software)",affordability_exception,revenue 500K-1M retained on funding $1M - $5M,"ThingLink is an AI-powered platform for building immersive and spatial learning experiences. 

ThingLink bridges the physical and digital worlds with easy-to-create interactive and immersive experiences and courses using images, video, 360 media, 3D models or physical objects. With a user base spanning 190 countries, over 10 million content creators, and 300 million annual learners, our product suite supports the evolution of both education and the future of work - recently offering AI-assisted tools for learning creators, a new AR app, integration with any LMS or XR headset, and enterprise IS","ThingLink is a versatile interactive media platform that empowers users to create immersive learning experiences and engaging marketing content. By enabling the addition of interactive tags and links to images, videos, and 3D models, ThingLink transforms static media into dynamic learning and marketing tools. It serves over 10 million content creators across 190 countries, with a strong focus on education and corporate training solutions, recent features include AI-assisted tools and AR capabilities that provide flexibility across devices and learning management systems.",2026-09-14
SQ122884,5467,66,Proximity Health,proximityhealth.com,https://proximityhealth.com,https://www.linkedin.com/company/proximityhealth,proximityhealth,United States,"Chicago, Illinois",11.0,11-50 employees,Privately Held,B2B,500K-1M,$1M - $5M,Hospitals and Health Care,"Healthcare Software,Financial Services Software","B2B, SaaS, Healthcare",2023.0,229.0,Business Type contains B2B; Pattern Tags contain B2B,"Pattern Tags contain SaaS; explicit SaaS / cloud / enterprise-software / platform language; SubIndustry is software/platform (Healthcare Software,Financial Services Software)",affordability_exception,revenue 500K-1M retained on funding $1M - $5M,"One Platform, Your Entire 340B Program. Proximity maximizes hard-to-find 340B revenue by centralizing your EHR, TPA, and Wholesaler data to a single intelligent tech platform, uncovering significant, often overlooked 340B revenue — in days, not weeks.","Proximity Health offers a cloud-based platform optimizing healthcare facilities' 340B drug pricing programs. Centralizing data from EHRs, TPAs, and wholesalers, it identifies overlooked revenue, ensuring compliance and maximizing 340B revenue through data-driven technology and expert guidance.",2026-09-14
SQ168606,6438,64,Dodo Payments,dodopayments.com,https://dodopayments.com,https://www.linkedin.com/company/dodopayments,dodopayments,United States,"Dover, County of Kent",43.0,11-50 employees,Privately Held,B2B,500K-1M,$1M - $5M,Financial Services,"Financial Services Software,Financial Services Platforms","FinTech, B2B, Global Payments",2024.0,49390.0,Business Type contains B2B; Pattern Tags contain B2B,"explicit SaaS / cloud / enterprise-software / platform language; SubIndustry is software/platform (Financial Services Software,Financial Services Pla)",affordability_exception,revenue 500K-1M retained on funding $1M - $5M,"Dodo Payments is a global Payments & Billing platform helping SaaS and AI-native businesses scale across 150+ countries. We handle payments, subscriptions, compliance, and tax, so that founders can focus on building, not operations.","Dodo Payments is a global payment platform tailored for digital businesses. They streamline the process of launching and accepting payments worldwide by providing access to over 300 local payment methods and automating payment compliance. Dodo Payments distinguishes itself by offering an all-in-one solution that eliminates the need for businesses to set up their own entities or integrate multiple tools for subscriptions, invoicing, and tax accounting.",2026-09-14
SQ072344,7536,63,Tenor,tenorhq.com,https://tenorhq.com,https://www.linkedin.com/company/tenorhq,tenorhq,United States,"San Francisco, CA",22.0,11-50 employees,Privately Held,B2B,0-500K,$5M - $10M,Software Development,"Corporate Training and Learning and Development,AI and ML Platforms","B2B, SaaS, AI-Driven Learning",2023.0,7497.0,Business Type contains B2B; Pattern Tags contain B2B,"Pattern Tags contain SaaS; explicit SaaS / cloud / enterprise-software / platform language; SubIndustry is software/platform (Corporate Training and Learning and Development,AI)",affordability_exception,revenue 0-500K contradicted by funding $5M - $10M,"Tenor is the AI for leadership development.

We're on a mission to make every manager more effective, at the world's best companies.","Tenor is an AI-driven platform designed to enhance leadership development within organizations. It offers a unique approach by enabling leaders to practice challenging conversations with realistic voice AI characters. The platform provides real-time coaching, in-depth analysis, and customized scenarios to improve communication and leadership skills. Tenor differentiates itself by offering a practical, judgment-free learning environment, making leadership training more effective and accessible.",2026-09-14
SQ079863,7569,63,Loman AI,loman.ai,https://loman.ai,https://www.linkedin.com/company/useloman,useloman,United States,"Austin, Texas",18.0,11-50 employees,Privately Held,B2B,500K-1M,$1M - $5M,Software Development,"AI and ML Platforms,Food and Beverage Services","B2B, SaaS, Restaurant Tech",2024.0,2947.0,Business Type contains B2B; Pattern Tags contain B2B,"Pattern Tags contain SaaS; explicit SaaS / cloud / enterprise-software / platform language; SubIndustry is software/platform (AI and ML Platforms,Food and Beverage Services)",affordability_exception,revenue 500K-1M retained on funding $1M - $5M,"Loman AI is the AI-powered phone agent built for restaurants. We answer 100% of calls 24/7, take orders, collect payment securely, upsell, answer menu questions, and integrate directly with the POS, all in real time, with zero hold time. 

Loman boosts sales, improves customer experience, and frees up staff. Whether you're running one location or a growing chain, Loman helps you never miss a call again.

Join the worlds best restaurant operators and start using Loman to answer your calls today.","Loman AI provides an AI-powered phone platform designed specifically for restaurants. Their AI phone agent answers calls, takes orders, handles customer questions, and books reservations 24/7, aiming to improve staff efficiency, reduce missed calls, and increase revenue for restaurants. They differentiate themselves through deep integration with restaurant POS systems and custom training of their AI on each restaurant's menu and business information.",2026-09-14
SQ084653,7592,63,"Ex Parte, Inc.",exparte.com,https://exparte.com,https://www.linkedin.com/company/ex-parte,ex-parte,United States,"Washington, DC",12.0,11-50 employees,Privately Held,B2B,0-500K,$5M - $10M,Software Development,"AI and ML Platforms,Legal Services and Regulatory Compliance","LegalTech, SaaS, AI-powered",2020.0,581.0,Business Type contains B2B,"Pattern Tags contain SaaS; explicit SaaS / cloud / enterprise-software / platform language; SubIndustry is software/platform (AI and ML Platforms,Legal Services and Regulatory )",affordability_exception,revenue 0-500K contradicted by funding $5M - $10M,"Win by Design, Not by Chance.

Ex Parte is the world’s first Litigation Intelligence Engineering company. We don't just predict outcomes. We reverse-engineer the path to victory.

Traditional legal tech finds documents. We find the structural vulnerabilities that determine case outcomes. Our Agentic AI forensically models the entire litigation ecosystem (examiners, judges, patents, and parties) across a knowledge graph of over 2 billion relationships.

𝗧𝗛𝗘 𝗣𝗥𝗢𝗕𝗟𝗘𝗠
Critical vulnerabilities exist in the case record right now. Unsearched databases, binding estoppels, and fatal mismatches are hidi","Ex Parte is a legal-tech company providing a SaaS platform that leverages artificial intelligence and machine learning to predict litigation outcomes and recommend actions to optimize the chances of winning. Their Prediction Engine forecasts case outcomes with approximately 85% accuracy, and their Recommendation Engine generates data-driven recommendations on whether to litigate or settle, which claims to assert, where to file or defend, and which attorneys/firms provide the best chance of success. They serve corporations, hedge funds, law firms, insurance companies, litigation finance firms, ",2026-09-14
SQ101836,7657,63,RunReveal,runreveal.com,https://runreveal.com,https://www.linkedin.com/company/runreveal,runreveal,United States,"Austin, Texas",20.0,11-50 employees,Privately Held,B2B,0-500K,$10M - $25M,Computer and Network Security,"Security and Identity Software,IT Services and Cybersecurity","SaaS, cybersecurity, threat detection",2023.0,2186.0,Business Type contains B2B,"Pattern Tags contain SaaS; explicit SaaS / cloud / enterprise-software / platform language; SubIndustry is software/platform (Security and Identity Software,IT Services and Cyb)",affordability_exception,revenue 0-500K contradicted by funding $10M - $25M,A complete security data platform that simplifies every function of detection while saving you money and keeping you in control of your data.,"RunReveal is a security data platform designed to simplify security log management and threat detection for organizations of all sizes. It provides an end-to-end solution for collecting logs, setting up a SIEM (Security Information and Event Management) system, running security data pipelines, and detecting threats. RunReveal differentiates itself by offering a user-friendly platform with features like fast query speeds and out-of-the-box threat correlation, aiming to reduce the complexity and cost associated with traditional SIEM solutions.",2026-09-14
SQ134991,8052,63,Soundful,soundful.com,https://soundful.com,https://www.linkedin.com/company/soundful,soundful,United States,"San Diego, CA",21.0,11-50 employees,Privately Held,"B2B,B2C",0-500K,$1M - $5M,Musicians,"AI and ML Platforms,Music, Audio and Podcast Services","AI Music, Content Creation, SaaS",2019.0,2609.0,Business Type contains B2B,"Pattern Tags contain SaaS; explicit SaaS / cloud / enterprise-software / platform language; SubIndustry is software/platform (AI and ML Platforms,Music, Audio and Podcast Servi)",affordability_exception,revenue 0-500K contradicted by funding $1M - $5M,"Empowering Everyone to Make Music and Content.
The future of music is now. 

Get early access: http://soundful.com/s","Soundful is an AI-powered music generation platform designed for creators, producers, and businesses. It enables users to generate royalty-free music tracks and stems for various purposes, including social media content, advertising, and music releases. Soundful differentiates itself by offering studio-quality music created with AI, various licensing options, and an API integration for businesses seeking to incorporate AI music generation into their applications. They provide a range of plans from free for personal use up to enterprise options.",2026-09-14
