canonical_company_id,company_name,domain,website_url,linkedin_company_url,unresolved_facts,linkedin_activity_status,hq_city,hq_state,hq_country,hq_confidence,employee_estimate,employee_range_verified,employee_confidence,business_model,b2b_saas_confidence,revenue_estimate,funding_total,ability_to_pay,ability_to_pay_reason,tam_status,hard_disqualifier,research_confidence,evidence_urls,research_date,research_notes
SQ035484,FIXE,getmyfixe.com,https://getmyfixe.com,https://www.linkedin.com/company/getmyfixe,employee count,not inspectable in this environment - unverified for every lead,Venice (Los Angeles),CA,United States,High,~51 across 4 continents (Mar 2026),51 - marginally ABOVE target band,Medium,Confirmed B2B SaaS,High,5M-10M (vendor estimate),not established; New York Angels involvement indicated,Probable,Angel-backed with an established restaurant customer base; bookkeeping subscriptions recur monthly,Needs Verification,Possible - approximately 51 employees against a 50 ceiling,Medium,https://www.newyorkangels.com/blog/ryan-handel-fixe | https://www.getmyfixe.com/author/ryangetmyfixe-com/ | https://leadiq.com/c/fixe/60126dc0881cc9057fe8460d | https://gust.com/companies/getmyfixe,2026-09-14,"Held only on size, and only just: roughly 51 employees across four continents against a 50-employee ceiling, from a single source. Worth resolving, because the founder profile is strong - Ryan Handel is CEO and co-founder with 20 years in restaurants and is himself a restaurant owner/operator, co-founder Scott Leabman brings finance, and Handel already runs an author page on the company blog interviewing other restaurant-industry founders. That is an operator-founder with a proven publishing habit. If headcount confirms at or below 50 this is a strong Priority A or B lead."
SQ103489,VESTBERRY,vestberry.com,https://vestberry.com,https://www.linkedin.com/company/vestberry,headquarters; employee count,not inspectable in this environment - unverified for every lead,New York (registered) / Bratislava (operational),NY,United States - CONTESTED,Conflicting,40 (dataset),11-50,Low,Confirmed B2B SaaS,High,10M-25M (vendor estimate),not established,Probable,Established VC-tech vendor with named institutional users including the European Innovation Council; demo-led enterprise motion,Needs Verification,Possible - may not be headquartered in the United States,Low,https://sk.linkedin.com/company/vestberry | https://vestberry.com/about | https://vcday.vestberry.com/recordings | https://www.crunchbase.com/organization/vestberry,2026-09-14,"HQ is materially contested and this is exactly the 'incorporated in the US but operated elsewhere' case the brief flags. The LinkedIn company page resolves on the Slovak subdomain (sk.linkedin.com) and reports Headquarters New York, NY at 1460 Broadway - an address strongly associated with virtual/serviced offices. The entire named leadership team is Slovak (Marek Zamecnik Co-CEO & Co-founder, Natalia Jamborova Co-CEO, Matej Pavlansky Co-founder & Head of Design, Peter Drobec, Michal Vidoman) and the company runs its flagship event in Prague. Crunchbase separately names Jan Kacer as a founder, conflicting with the About page. Held for HQ verification before any founder can be qualified."
SQ001255,Pickspace AI - Property Management Software,pickspace.com,https://pickspace.com,https://www.linkedin.com/company/pickspace,headquarters,not inspectable in this environment - unverified for every lead,New York (listed) / Tel Aviv (founded),NY,United States - CONTESTED,Conflicting,~31 (Aug 2025),11-50,Medium,Confirmed B2B SaaS,High,10M-25M (vendor estimate),"not established; raised following Shark Tank Israel appearance in 2018, currently in an open growth round",Probable,31 employees on an established platform with an open growth round; property management contracts recur,Needs Verification,Possible - founded and potentially still operated from Tel Aviv rather than the United States,Low,https://www.pickspace.com/about-us/ | https://www.accessnewswire.com/newsroom/en/business-and-professional-services/pickspace-the-property-management-software-explores-merger-and-ac-893443 | https://leadiq.com/c/pickspace-ai---property-management-software/5a1db51a2300005b00af4c5f/employee-directory,2026-09-14,"Founded in Tel Aviv and now described as headquartered in New York, with a Shark Tank Israel appearance in 2018 - the classic case of a foreign-founded company carrying a US address, which the brief directs to verification rather than acceptance. A second flag: the company has publicly announced it is exploring merger and acquisition opportunities, so it may not remain independently founder-controlled. Founder Maor Cohen combines law, product, marketing and real estate management; CTO Nadi Hassan has a decade in property management systems. Verify the operating headquarters and the outcome of the M&A process before any outreach."
SQ007696,Inkle,inkle.ai,https://inkle.ai,https://www.linkedin.com/company/inkle,headquarters; employee count; ability to pay; business model,not inspectable in this environment - unverified for every lead,Delaware (incorporation) / Bengaluru (operations),DE,United States - CONTESTED,Conflicting,not established; described as operating 'in a very lean manner',likely below 11 - unverified,Low,Mixed SaaS and services,Medium,1M-5M (vendor estimate - questionable given pre-seed stage),$1.5M pre-seed,Uncertain,$1.5M pre-seed and an explicitly lean operation; 500+ startup customers but at small-ticket accounting price points,Needs Verification,"Possible - primarily operated outside the United States, and likely below 11 employees",Low,https://www.inkle.ai/about-us | https://www.inkle.ai/blog/inkle-raises-1-5m | https://cllimber.com/inkle-us-tax-and-compliance-software-for-startups/,2026-09-14,"Exactly the case the brief flags: incorporated in Delaware but based in Bengaluru, India. A Delaware incorporation is a legal domicile, not an operating headquarters, so US HQ confidence is Conflicting rather than Medium. Three separate problems compound - contested HQ, a team described as operating 'in a very lean manner' (likely under 11), and only $1.5M pre-seed against a low-ticket accounting product. Founded 2022 by Anand Krishna (a British entrepreneur) with CTO Ranvir Singh. Kept in Needs Verification rather than rejected outright because the brief directs US-incorporated but foreign-operated companies to verification, but the likely outcome on verification is rejection."
SQ010603,Ordway - Billing and Revenue Automation,ordwaylabs.com,https://ordwaylabs.com,https://www.linkedin.com/company/ordway,employee count,not inspectable in this environment - unverified for every lead,Washington,DC,United States,High,61 (Owler/Crustdata),51-100 - ABOVE target band,Medium,Confirmed B2B SaaS,High,10M-25M (vendor estimate),$20M,Confirmed,$20M raised from 10 institutional investors; enterprise billing platform with substantial contract values,Fails employee condition,Possible - 61 employees is above the 50 ceiling,Medium,https://ordwaylabs.com/company/leadership/sameer-gulati-ceo-ordway/ | https://www.owler.com/company/ordwaylabs | https://www.crunchbase.com/organization/ordway-labs,2026-09-14,"Founder-CEO Sameer Gulati founded Ordway in 2018 after launching billion-dollar finance applications at major ERP vendors, and is clearly a strong founder-brand prospect. Held only on size: public sources report 61 employees against a 50-employee ceiling. One aggregator figure is not enough to reject outright, so this sits in Needs Verification pending a current headcount check."
SQ013738,Tesorio,tesorio.com,https://tesorio.com,https://www.linkedin.com/company/tesorio,employee count,not inspectable in this environment - unverified for every lead,San Francisco,CA,United States,High,53 (Y Combinator company profile),51-100 - ABOVE target band,Medium,Confirmed B2B SaaS,High,10M-25M (vendor estimate),Venture-funded (YC S15),Confirmed,"Enterprise customer base including GitLab, Veeva, Smartsheet, Couchbase, Fastly; $100B+ invoices processed; clear enterprise sales motion",Fails employee condition,Possible - employee count may be clearly above 50,Medium,https://www.ycombinator.com/companies/tesorio | https://www.tesorio.com/ | https://www.linkedin.com/company/tesorio,2026-09-14,"Dataset placed Tesorio in the 11-50 band, but Y Combinator's current company profile reports a team size of 53 and Crunchbase-class sources put it above the band. 53 is only marginally above 50, so this is recorded as an unresolved employee conflict rather than a confirmed rejection. Tesorio also runs a mature content operation (benchmark reports, customer video series, tools), which is a negative buying signal for founder ghostwriting. Founders Carlos Vega (CEO) and Fabio Fleitas (CTO) remain active per the site's 'Still founder-led' claim."
SQ016470,MachineMetrics,machinemetrics.com,https://machinemetrics.com,https://www.linkedin.com/company/machinemetrics,employee count,not inspectable in this environment - unverified for every lead,Easthampton,MA,United States,High,51 (GetLatka 2024); Crunchbase band 51-100,51-100 - marginally ABOVE target band,Medium,Confirmed B2B SaaS,High,$14.7M est. ARR (GetLatka),"$37.7M across 5 rounds (GetLatka); investors incl. Level Equity, Ridgeline, Tola Capital",Confirmed,"$37.7M raised, ~$14.7M ARR estimate, blue-chip industrial customer base, enterprise demo-led motion",Fails employee condition (marginal),Possible - employee count may be clearly above 50,Medium,https://www.machinemetrics.com/blog/press-release-6292015 | https://www.machinemetrics.com/blog/machinemetrics-announces-11.3-million-series-a-funding-round | https://getlatka.com/companies/machinemetrics | https://www.crunchbase.com/organization/machinemetrics,2026-09-14,"Founded 2014 in Northampton MA by William (Bill) Bither, Eric Fogg and Jacob Lauzier; current office listed as 116 Pleasant St, Easthampton MA. GetLatka reports 51 employees and Crunchbase bands it 51-100, both marginally above the 50-employee ceiling, so this is an unresolved employee conflict rather than a clean rejection. Bill Bither remains CEO and is the quoted public voice in funding announcements."
SQ022329,RhythmScience Inc.,rhythm360.io,https://rhythm360.io,https://www.linkedin.com/company/rhythmscience,employee count,not inspectable in this environment - unverified for every lead,San Francisco,CA,United States,High,51-100 band reported,51-100 - ABOVE target band,Low,Confirmed B2B SaaS,High,10M-25M (vendor estimate),$6M+,Confirmed,$6M Series A led by a health-system venture arm; cardiology practices on recurring remote-monitoring contracts,Needs Verification,Possible - reported headcount band of 51-100 sits entirely above the 50 ceiling,Medium,https://www.rhythm360.io/resources/rhythmscience-secures-6m-series-a-investment-led-by-cedars-sinai-health-ventures | https://www.cbinsights.com/company/rhythmscience/people | https://www.rhythm360.io/,2026-09-14,"Held on size alone. Everything else is strong and the founder profile is one of the better ones seen: Shawn Kumar is founder, CEO and CTO, has an engineering degree, built the first version of the product himself, and came from technical medical device sales at Abbott - a rare sales-plus-engineering combination in healthtech. The 51-100 band comes from a single source, so confirm current headcount; if it lands at or under 50 this becomes a strong Priority A or B lead."
SQ027433,Encycle,encycle.com,https://encycle.com,https://www.linkedin.com/company/encycle-technologies-inc,business model; founder identity / operational status,not inspectable in this environment - unverified for every lead,San Marcos,CA,United States,Medium,11-50 band reported,11-50,Medium,Probable B2B SaaS,Medium,1M-5M (vendor estimate),$46.2M over 9 rounds,Confirmed,$46.2M raised across 9 rounds with multi-site commercial and industrial clients,Needs Verification,Possible - no identifiable operational founder,Low,https://www.facilitiesnet.com/site/pressreleases.aspx?id=38512 | https://www.encycle.com/ | https://www.zoominfo.com/c/encycle-corp/371472730 | https://cyclecapital.com/en/2021/05/12/encycle-announces-closing-of-7-5-million-financing-round/,2026-09-14,"Held on the buyer question and on origin. Sources name two different chief executives (Ana-Paula Issa as CEO and Robert Chiste as President and CEO) and no founder is identified anywhere - the company dates to 2005, so any founder may be long gone. The investor list is heavily Canadian (BDC, Export Development Canada, Cycle Capital), which suggests Canadian origins despite the San Marcos CA address, so the US HQ needs confirming rather than assuming. Ability to pay is not in doubt."
SQ034164,"LoCI Controls, Inc.",locicontrols.com,https://locicontrols.com,https://www.linkedin.com/company/loci-controls,business model; founder identity / operational status,not inspectable in this environment - unverified for every lead,Fall River,MA,United States,High,~45 (Jul 2026),11-50,Medium,Mixed SaaS and services,Medium,1M-5M (vendor estimate),"$3.4M reported by one source, but the company announces a completed Series C - sources conflict",Probable,"~45 employees and a completed Series C per the company's own announcement, plus a $750K NSF grant; landfill operators on recurring monitoring contracts",Needs Verification,"Possible - no operational founder, and the business may be hardware-led rather than SaaS",Low,https://locicontrols.com/about | https://locicontrols.com/loci-news/loci-controls-inc.-completes-series-c-funding-round | https://en.wikipedia.org/wiki/Loci_Controls | https://leadiq.com/c/loci-controls-inc/5a1d8911240000240062993f,2026-09-14,"Two unresolved issues. First, the buyer: founded in 2013 by MIT alumni Andrew Campanella and Melinda Hale, but the company is now led by Peter Quigley as CEO and Chairman, and neither founder is confirmed as still operational. Second, the business model: the product combines wireless sensor and actuator hardware with a cloud platform, so whether SaaS is a meaningful core product or the hardware leads needs confirming before this can qualify. Funding evidence also conflicts - one database reports $3.4M with a last round in 2016 while the company announces a completed Series C."
