company_name,domain,canonical_company_id,source_row_ids,rejection_stage,primary_rejection_reason,secondary_rejection_reasons,hard_disqualifier,evidence_url,research_date
OnFinance AI,onfinance.ai,SQ169082,169083,web_research,"Not headquartered in the United States - OnFinance AI is based in Indiranagar, Bengaluru, India","Founded 2023, first office on 100ft Road, Indiranagar, Bengaluru; both the company and founder LinkedIn pages resolve on the Indian subdomain. 46 employees and $5.25M raised would otherwise be a reasonable profile, and co-founder CEO Anuj Srivastava is Forbes 30 Under 30 - but the company is Indian, not US, so it fails a mandatory condition. Another case of the dataset's country field being wrong.","Not headquartered in the United States - OnFinance AI is based in Indiranagar, Bengaluru, India",https://onfinance.ai/company | https://profiles.crustdata.com/company/onfinance-ai | https://in.linkedin.com/company/onfinanceofficial | https://tracxn.com/d/companies/onfinance-ai/__T4k5LqYRPuwBQmWCqIVuc-GuhlqOWAONpKmb2t4SnKc,2026-09-14
Vultus Inc.,vultus.com,SQ003826,3827,web_research,"Not headquartered in the United States - Vultus AB is a Swedish company founded and based in Lund, Sweden","The legal entity is Vultus AB, founded in Lund, Sweden in 2016, and the LinkedIn slug is vultus-ab. US and Canadian offices exist but the headquarters is Swedish. The dataset listed this as a US company - another instance of the source's country field being unreliable. Leadership sources also conflict (Robert Schmitt and Per Karlsson both named CEO), but headquarters alone is disqualifying.","Not headquartered in the United States - Vultus AB is a Swedish company founded and based in Lund, Sweden",https://www.crunchbase.com/organization/vultus-ab | https://www.linkedin.com/company/vultus-ab/ | https://wateragri.eu/vultus/,2026-09-14
Rhumbix,rhumbix.com,SQ014828,14829,web_research,Acquired - now a sub-organization of Autodesk (public company),"Autodesk finalised its acquisition of Rhumbix. The company is now a sub-organization of a large public company, so the founders no longer control the business. Fails two hard disqualifiers: fully acquired brand, and subsidiary of a large public company. Headcount 51-100 also sits above the band. Co-founders Zach Scheel (CEO) and Drew DeWalt (COO) founded it in 2014 and raised $46M+.",Acquired - now a sub-organization of Autodesk (public company),https://www.constructiondive.com/news/autodesk-acquires-rhumbix-construction-data/816526/ | https://www.crunchbase.com/organization/rhumbix,2026-09-14
Multis,multis.com,SQ033577,33578,web_research,Acquired - Multis was acquired by the Safe Ecosystem Foundation on 2024-04-18 and the founder-CEO moved into a contributor role in the acquirer's ecosystem,"Founded 2018 by Thibaut Sahaghian (CEO) and Theophile Villard (CTO). Acquired by the Safe Ecosystem Foundation on 18 April 2024; Sahaghian took the role of Network Abstraction Lead as a core contributor within the Safe ecosystem, so the founders no longer control an independent business. Fails the acquired/no-longer-founder-controlled disqualifier.",Acquired - Multis was acquired by the Safe Ecosystem Foundation on 2024-04-18 and the founder-CEO moved into a contributor role in the acquirer's ecosystem,https://tracxn.com/d/companies/multis/__03Zma_cb2HtmBWA5AKdicx-I3H6QqPxUYelgUV5RmUE | https://techcrunch.com/2020/09/29/multis-is-a-business-bank-account-for-cryptocurrencies/,2026-09-14
DoctorLogic,doctorlogic.com,SQ036463,36464,web_research,"Agency business model - marketing, content, SEO and web-design services, which the brief excludes explicitly","Rejected on business model, not on keywords. DoctorLogic self-describes across its own site as a 'Healthcare Marketing Agency', a 'Healthcare Content Marketing Agency for Doctors' and a medical website design service, and its service list - website design, local SEO, content marketing, paid advertising, reputation management - is agency work delivered on a proprietary platform rather than a software product sold on subscription. That hits four separate entries on the exclusion list (marketing agency, content agency, SEO agency, web-design agency). Headcount is also contested and trending above the band (47 / 65 / 72 across sources). Noted for a reviewer: a genuine website platform does underpin the service, so if Status Quo ever widens the TAM to software-enabled services this is the borderline case to revisit. Founded 2013 by Stuart Lloyd (co-founder/CEO) and Ray Myers.","Agency business model - marketing, content, SEO and web-design services, which the brief excludes explicitly",https://doctorlogic.com/healthcare-services/medical-content-marketing | https://doctorlogic.com/book-demo | https://getlatka.com/companies/doctorlogic | https://www.crunchbase.com/person/stuart-lloyd,2026-09-14
"Swoop, Inc.",swoopapp.com,SQ040012,40013,web_research,Managed marketplace serving individuals as well as corporations - not a B2B SaaS product; revenue is transaction commission rather than software subscription,"Identity required a second, domain-specific search: the first pass surfaced Swoop Funding, an unrelated London fintech, which is exactly the ambiguous-name trap the brief warns about. Confirmed via swoopapp.com that the queue entry is a Los Angeles group-transportation marketplace backed by Signia and South Park Commons. Rejected as a marketplace with a mixed consumer and corporate customer base and transaction-based revenue, not a B2B software product.",Managed marketplace serving individuals as well as corporations - not a B2B SaaS product; revenue is transaction commission rather than software subscription,https://www.swoopapp.com/referral-program | https://www.crunchbase.com/organization/swoop-app | https://www.getapp.com/transportation-logistics-software/a/swoop/,2026-09-14
Good Money,goodmoney.com,SQ046792,46793,web_research,"B2C-only - a consumer neobank selling checking and savings accounts to individuals, not a B2B software product","Founded 2018 in San Francisco by Gunnar Lovelace, previously founder of consumer grocery service Thrive Market. 42 employees and $30M raised would pass the size and affordability gates, but the business is a consumer neobank - individuals are the customer - which fails the B2C-only disqualifier outright. Founder pedigree is strong but irrelevant given the model.","B2C-only - a consumer neobank selling checking and savings accounts to individuals, not a B2B software product",https://www.prnewswire.com/news-releases/good-money-secures-30-million-series-a-financing-round-led-by-galaxy-digitals-eos-vc-fund-300761780.html | https://en.wikipedia.org/wiki/Good_Money,2026-09-14
Trio,trio.so,SQ054857,54858,web_research,"Staff-augmentation and outsourced-engineering business model, which the brief excludes; no scalable SaaS product identified","Rejected on business model. Trio supplies on-demand remote software engineering teams incorporated into client companies on project-based terms - staff augmentation and outsourced development, both on the exclusion list, with no scalable software product identified. Company identity is also muddy: the queue domain is trio.so, the LinkedIn page is linkedin.com/company/trio-so and the live site is trio.dev, while search results collide with several unrelated companies named Trio (Trio Labs, Trio Mobil, Trio Solutions). Even if identity were resolved, the business model disqualifies it.","Staff-augmentation and outsourced-engineering business model, which the brief excludes; no scalable SaaS product identified",https://trio.dev/ | https://www.linkedin.com/company/trio-so/,2026-09-14
"Syxsense, An Absolute Security Company",syxsense.com,SQ055280,55281,web_research,"Acquired - Absolute Security acquired Syxsense on 2024-09-05; the dataset company name itself already reads 'Syxsense, An Absolute Security Company'","Founded 2012 in Newport Beach and led by CEO Ashley Leonard. Absolute Security acquired the company on 5 September 2024, confirmed by the acquirer's own press release, the law firm that ran the deal and multiple trade titles. Fails the acquired disqualifier - founders no longer control the business.","Acquired - Absolute Security acquired Syxsense on 2024-09-05; the dataset company name itself already reads 'Syxsense, An Absolute Security Company'",https://www.absolute.com/press-releases/absolute-security-acquires-syxsense | https://www.wsgr.com/en/insights/wilson-sonsini-represents-syxsense-in-its-acquisition-by-absolute-security.html | https://siliconangle.com/2024/09/05/absolute-acquires-syxsense-expand-automated-endpoint-security/,2026-09-14
LoudCloud Systems Inc.,loudcloudsystems.com,SQ058089,58090,web_research,"Acquired - Barnes & Noble Education acquired LoudCloud Systems on 2016-03-09 for $17.9M, making it a subsidiary of a public company",Founded 2010 in Dallas by InSik Rhee and acquired by Barnes & Noble Education in March 2016 for $17.9M; now operates as BNED LoudCloud. Fails two hard disqualifiers - fully acquired brand and subsidiary of a large public company. Headcount reporting is also inconsistent (51 vs 136) and above band either way.,"Acquired - Barnes & Noble Education acquired LoudCloud Systems on 2016-03-09 for $17.9M, making it a subsidiary of a public company",https://tracxn.com/d/companies/loudcloud-systems/__izm0_JaiGOSIbFyNmfSQm5F9HiqHqLp5qp8UNmK1rzc | https://www.datanyze.com/companies/bned-loudcloud/401896351,2026-09-14
